Time,ILI_Cases
2012-01-02,10987.0
2012-01-09,11067.0
2012-01-16,11645.0
2012-01-23,10881.0
2012-01-30,10964.0
2012-02-06,10524.0
2012-02-13,11426.0
2012-02-20,11219.0
2012-02-27,11881.0
2012-03-05,14049.0
2012-03-12,16603.0
2012-03-19,19048.0
2012-03-26,22267.0
2012-04-02,17284.0
2012-04-09,19588.0
2012-04-16,19555.0
2012-04-23,21256.0
2012-04-30,22150.0
2012-05-07,24710.0
2012-05-14,26725.0
2012-05-21,25287.0
2012-05-28,28476.0
2012-06-04,30737.0
2012-06-11,32442.0
2012-06-18,31161.0
2012-06-25,33646.0
2012-07-02,30379.0
2012-07-09,30934.0
2012-07-16,30965.0
2012-07-23,30736.0
2012-07-30,30109.0
2012-08-06,30513.0
2012-08-13,31675.0
2012-08-20,31231.0
2012-08-27,35260.0
2012-09-03,35057.0
2012-09-10,36380.0
2012-09-17,32290.0
2012-09-24,34648.0
2012-10-01,32835.0
2012-10-08,29090.0
2012-10-15,27604.0
2012-10-22,26606.0
2012-10-29,23662.0
2012-11-05,20560.0
2012-11-12,20757.0
2012-11-19,19451.0
2012-11-26,17850.0
2012-12-03,15497.0
2012-12-10,14372.0
2012-12-17,12564.0
2012-12-24,11090.0
2012-12-31,12536.0
2013-01-07,12779.0
2013-01-14,12975.0
2013-01-21,13162.0
2013-01-28,12230.0
2013-02-04,13083.0
2013-02-11,12138.0
2013-02-18,13266.0
2013-02-25,13882.0
2013-03-04,15802.0
2013-03-11,18859.0
2013-03-18,21489.0
2013-03-25,19534.0
2013-04-01,17788.0
2013-04-08,19317.0
2013-04-15,21152.0
2013-04-22,22040.0
2013-04-29,19212.0
2013-05-06,23285.0
2013-05-13,23552.0
2013-05-20,27257.0
2013-05-27,30423.0
2013-06-03,35008.0
2013-06-10,40388.0
2013-06-17,39022.0
2013-06-24,48953.0
2013-07-01,50944.0
2013-07-08,44427.0
2013-07-15,40799.0
2013-07-22,38715.0
2013-07-29,36461.0
2013-08-05,36411.0
2013-08-12,36485.0
2013-08-19,35209.0
2013-08-26,35741.0
2013-09-02,33177.0
2013-09-09,28198.0
2013-09-16,25403.0
2013-09-23,25600.0
2013-09-30,24193.0
2013-10-07,22538.0
2013-10-14,18830.0
2013-10-21,17620.0
2013-10-28,16295.0
2013-11-04,15264.0
2013-11-11,13719.0
2013-11-18,14126.0
2013-11-25,11829.0
2013-12-02,11271.0
2013-12-09,10502.0
2013-12-16,9218.0
2013-12-23,7857.0
2013-12-30,8689.0
2014-01-06,10825.0
2014-01-13,10045.0
2014-01-20,9864.0
2014-01-27,10647.0
2014-02-03,10269.0
2014-02-10,10454.0
2014-02-17,10621.0
2014-02-24,10894.0
2014-03-03,12033.0
2014-03-10,15632.0
2014-03-17,17342.0
2014-03-24,16871.0
2014-03-31,15061.0
2014-04-07,15078.0
2014-04-14,15916.0
2014-04-21,18749.0
2014-04-28,17344.0
2014-05-05,20566.0
2014-05-12,20984.0
2014-05-19,22666.0
2014-05-26,26145.0
2014-06-02,28254.0
2014-06-09,27835.0
2014-06-16,29030.0
2014-06-23,32148.0
2014-06-30,34823.0
2014-07-07,33806.0
2014-07-14,33954.0
2014-07-21,33112.0
2014-07-28,31886.0
2014-08-04,31957.0
2014-08-11,35728.0
2014-08-18,36530.0
2014-08-25,32486.0
2014-09-01,28396.0
2014-09-08,25825.0
2014-09-15,24293.0
2014-09-22,22873.0
2014-09-29,21049.0
2014-10-06,18434.0
2014-10-13,16299.0
2014-10-20,15701.0
2014-10-27,14859.0
2014-11-03,13963.0
2014-11-10,13344.0
2014-11-17,12629.0
2014-11-24,11891.0
2014-12-01,11414.0
2014-12-08,9968.0
2014-12-15,9551.0
2014-12-22,7154.0
2015-01-05,10924.0
2015-01-12,10242.0
2015-01-19,11310.0
2015-01-26,11519.0
2015-02-02,11442.0
2015-02-09,11210.0
2015-02-16,11576.0
2015-02-23,11863.0
