Time,ILI_Cases
2009-07-06,0.0
2009-07-13,0.0
2009-07-20,0.0
2009-07-27,
2009-08-03,
2009-08-10,
2009-08-17,
2009-08-24,
2009-08-31,40.0
2009-09-07,57.0
2009-09-14,55.0
2009-09-21,
2009-09-28,103.0
2009-10-05,117.0
2009-10-12,141.0
2009-10-19,120.0
2009-10-26,153.0
2009-11-02,341.0
2009-11-09,575.0
2009-11-16,1094.0
2009-11-23,1180.0
2009-11-30,964.0
2009-12-07,864.0
2009-12-14,656.0
2009-12-21,223.0
2009-12-28,98.0
2010-01-04,380.0
2010-01-11,506.0
2010-01-18,448.0
2010-01-25,439.0
2010-02-01,463.0
2010-02-08,471.0
2010-02-15,490.0
2010-02-22,449.0
2010-03-01,450.0
2010-03-08,404.0
2010-03-15,312.0
2010-03-22,242.0
2010-03-29,78.0
2010-04-05,5.0
2010-10-04,211.0
2010-10-11,261.0
2010-10-18,446.0
2010-10-25,229.0
2010-11-01,252.0
2010-11-08,472.0
2010-11-15,532.0
2010-11-22,442.0
2010-11-29,591.0
2010-12-06,491.0
2010-12-13,542.0
2010-12-20,336.0
2010-12-27,175.0
2011-01-03,375.0
2011-01-10,761.0
2011-01-17,893.0
2011-01-24,949.0
2011-01-31,1052.0
2011-02-07,790.0
2011-02-14,812.0
2011-02-21,625.0
2011-02-28,718.0
2011-03-07,518.0
2011-03-14,470.0
2011-03-21,442.0
2011-03-28,362.0
2011-04-04,0.0
2011-04-11,0.0
2011-04-18,0.0
2011-04-25,0.0
2011-05-02,0.0
2011-05-09,0.0
2011-05-16,0.0
2011-05-23,0.0
2011-05-30,0.0
2011-06-06,0.0
2011-06-13,0.0
2011-06-20,0.0
2011-06-27,0.0
2011-07-04,0.0
2011-07-11,0.0
2011-07-18,0.0
2011-07-25,0.0
2011-08-01,0.0
2011-08-08,0.0
2011-08-15,0.0
2011-08-22,0.0
2011-08-29,0.0
2011-09-05,0.0
2011-09-12,0.0
2011-09-19,0.0
2011-09-26,0.0
2011-10-03,131.0
2011-10-10,172.0
2011-10-17,388.0
2011-10-24,192.0
2011-10-31,321.0
2011-11-07,445.0
2011-11-14,439.0
2011-11-21,407.0
2011-11-28,461.0
2011-12-05,387.0
2011-12-12,462.0
2011-12-19,246.0
2011-12-26,151.0
2012-01-02,133.0
2012-01-09,462.0
2012-01-16,443.0
2012-01-23,466.0
2012-01-30,507.0
2012-02-06,637.0
2012-02-13,608.0
2012-02-20,736.0
2012-02-27,877.0
2012-03-05,782.0
2012-03-12,669.0
2012-03-19,546.0
2012-03-26,397.0
2012-04-02,119.0
2012-04-09,9.0
2012-04-16,12.0
2012-04-23,0.0
2012-04-30,0.0
2012-05-07,0.0
2012-05-14,0.0
2012-05-21,0.0
2012-05-28,0.0
2012-06-04,0.0
2012-06-11,0.0
2012-06-18,0.0
2012-06-25,0.0
2012-07-02,0.0
2012-07-09,0.0
2012-07-16,0.0
2012-07-23,0.0
2012-07-30,0.0
2012-08-06,0.0
2012-08-13,0.0
2012-08-20,0.0
2012-08-27,0.0
2012-09-03,0.0
2012-09-10,0.0
2012-09-17,0.0
2012-09-24,0.0
2012-10-01,141.0
2012-10-08,178.0
2012-10-15,319.0
2012-10-22,279.0
2012-10-29,224.0
2012-11-05,383.0
2012-11-12,397.0
2012-11-19,382.0
2012-11-26,437.0
2012-12-03,429.0
2012-12-10,394.0
2012-12-17,168.0
2012-12-24,29.0
2012-12-31,195.0
2013-01-07,605.0
2013-01-14,704.0
2013-01-21,743.0
2013-01-28,906.0
2013-02-04,992.0
2013-02-11,922.0
2013-02-18,909.0
2013-02-25,911.0
2013-03-04,740.0
2013-03-11,717.0
2013-03-18,564.0
2013-03-25,433.0
2013-04-01,187.0
