Time,ILI_Cases
2009-07-06,6.0
2009-07-13,4.0
2009-07-20,3.0
2009-07-27,3.0
2009-08-03,4.0
2009-08-10,8.0
2009-08-17,7.0
2009-08-24,7.0
2009-08-31,13.0
2009-09-07,16.0
2009-09-14,56.0
2009-09-21,33.0
2009-09-28,21.0
2009-10-05,28.0
2009-10-12,25.0
2009-10-19,27.0
2009-10-26,79.0
2009-11-02,187.0
2009-11-09,249.0
2009-11-16,679.0
2009-11-23,847.0
2009-11-30,892.0
2009-12-07,751.0
2009-12-14,492.0
2009-12-21,289.0
2009-12-28,237.0
2010-01-04,213.0
2010-01-11,139.0
2010-01-18,144.0
2010-01-25,138.0
2010-02-01,140.0
2010-02-08,123.0
2010-02-15,120.0
2010-02-22,84.0
2010-03-01,78.0
2010-03-08,60.0
2010-03-15,60.0
2010-03-22,58.0
2010-03-29,29.0
2010-04-05,34.0
2010-04-12,37.0
2010-04-19,35.0
2010-04-26,31.0
2010-05-03,38.0
2010-05-10,29.0
2010-05-17,26.0
2010-05-24,25.0
2010-05-31,24.0
2010-06-07,17.0
2010-06-14,12.0
2010-06-21,15.0
2010-06-28,16.0
2010-07-05,20.0
2010-07-12,16.0
2010-07-19,10.0
2010-07-26,10.0
2010-08-02,10.0
2010-08-09,14.0
2010-08-16,12.0
2010-08-23,12.0
2010-08-30,20.0
2010-09-06,28.0
2010-09-13,43.0
2010-09-20,47.0
2010-09-27,49.0
2010-10-04,72.0
2010-10-11,59.0
2010-10-18,61.0
2010-10-25,66.0
2010-11-01,65.0
2010-11-08,65.0
2010-11-15,63.0
2010-11-22,69.0
2010-11-29,76.0
2010-12-06,86.0
2010-12-13,78.0
2010-12-20,98.0
2010-12-27,88.0
2011-01-03,134.0
2011-01-10,240.0
2011-01-17,318.0
2011-01-24,384.0
2011-01-31,359.0
2011-02-07,309.0
2011-02-14,246.0
2011-02-21,193.0
2011-02-28,183.0
2011-03-07,193.0
2011-03-14,168.0
2011-03-21,134.0
2011-03-28,134.0
2011-04-04,131.0
2011-04-11,103.0
2011-04-18,91.0
2011-04-25,117.0
2011-05-02,60.0
2011-05-09,48.0
2011-05-16,50.0
2011-05-23,37.0
2011-05-30,41.0
2011-06-06,38.0
2011-06-13,30.0
2011-06-20,30.0
2011-06-27,16.0
2011-07-04,21.0
2011-07-11,21.0
2011-07-18,14.0
2011-07-25,17.0
2011-08-01,16.0
2011-08-08,17.0
2011-08-15,19.0
2011-08-22,26.0
2011-08-29,34.0
2011-09-05,35.0
2011-09-12,62.0
2011-09-19,63.0
2011-09-26,79.0
2011-10-03,68.0
2011-10-10,84.0
2011-10-17,82.0
2011-10-24,71.0
2011-10-31,73.0
2011-11-07,57.0
2011-11-14,62.0
2011-11-21,80.0
2011-11-28,85.0
2011-12-05,83.0
2011-12-12,76.0
2011-12-19,85.0
2011-12-26,80.0
2012-01-02,84.0
2012-01-09,90.0
2012-01-16,89.0
2012-01-23,128.0
2012-01-30,143.0
2012-02-06,153.0
2012-02-13,143.0
2012-02-20,140.0
2012-02-27,199.0
2012-03-05,207.0
2012-03-12,201.0
2012-03-19,192.0
