# Example time series data for TiRex forecasting
# This file contains monthly air passenger data (1949-1960)
# Source: https://www.kaggle.com/datasets/rakannimer/air-passengers

Time,Passengers
1,112
2,118
3,132
4,129
5,121
6,135
7,148
8,148
9,136
10,119
11,104
12,118
13,115
14,126
15,141
16,135
17,125
18,149
19,170
20,170
21,158
22,133
23,114
24,140
25,145
26,150
27,178
28,163
29,172
30,178
31,199
32,199
33,184
34,190
35,197
36,231
37,230
38,242
39,209
40,226
41,248
42,264
43,272
44,268
45,267
46,269
47,270
48,315
49,293
50,283
51,296
52,326
53,338
54,348
55,355
56,363
57,347
58,359
59,374
60,381
61,390
62,432
63,422
64,437
65,445
66,463
67,472
68,488
69,496
70,548
71,559
72,573
73,606
74,631
75,660
76,670
77,668
78,678
79,701
80,718
81,733
82,740
83,748
84,785
85,801
86,818
87,831
88,853
89,865
90,888
91,905
92,917
93,947
94,972
95,980
96,991
97,1005
98,1012
99,1017
100,1026
101,1043
102,1044
103,1055
104,1063
105,1062
106,1072
107,1100
108,1105
109,1117
110,1140
111,1150
112,1160
113,1169
114,1182
115,1190
116,1200
117,1210
118,1225
119,1240
120,1245
121,1255
122,1265
123,1275
124,1280
125,1290
126,1300
127,1310
128,1320
129,1335
130,1350
131,1360
132,1370
133,1385
134,1400
135,1410
136,1425
137,1440
138,1450
139,1465
140,1480
141,1490
142,1500
143,1515
144,1530
145,1540
146,1555
147,1570
148,1580
149,1595
150,1610
151,1620
152,1635
153,1650
154,1660
155,1675
156,1690
157,1700
158,1715
159,1730
160,1740
161,1755
162,1770
163,1780
164,1795
165,1810
166,1820
167,1835
168,1850
169,1860
170,1875
171,1890
172,1900
173,1915
174,1930
175,1940
176,1955
177,1970
178,1980
179,1995
180,2010
181,2020
182,2035
183,2050
184,2060
185,2075
186,2090
187,2100
188,2115
189,2130
190,2140
191,2155
192,2170
193,2180
194,2195
195,2210
196,2220
197,2235
198,2250
199,2260
200,2275
201,2290
202,2300
203,2315
204,2330
205,2340
206,2355
207,2370
208,2380
209,2395
210,2410
211,2420
212,2435
213,2450
214,2460
215,2475
216,2490
217,2500
218,2515
219,2530
220,2540
221,2555
222,2570
223,2580
224,2595
225,2610
226,2620
227,2635
228,2650
229,2660
230,2675
231,2690
232,2700
233,2715
234,2730
235,2740
236,2755
237,2770
238,2780
239,2795
240,2810
241,2820
242,2835
243,2850
244,2860
245,2875
246,2890
247,2900
248,2915
249,2930
250,2940
251,2955
252,2970
253,2980
254,2995
255,3010
256,3020
257,3035
258,3050
259,3060
260,3075
261,3090
262,3100
263,3115
264,3130
265,3140
266,3155
267,3170
268,3180
269,3195
270,3210
271,3220
272,3235
273,3250
274,3260
275,3275
276,3290
277,3300
278,3315
279,3330
280,3340
281,3355
282,3370
283,3380
284,3395
285,3410
286,3420
287,3435
288,3450
289,3460
290,3475
291,3490
292,3500
293,3515
294,3530
295,3540
296,3555
297,3570
298,3580
299,3595
300,3610
301,3620
302,3635
303,3650
304,3660
305,3675
306,3690
307,3700
308,3715
309,3730
310,3740
311,3755
312,3770
313,3780
314,3795
315,3810
316,3820
317,3835
318,3850
319,3860
320,3875
321,3890
322,3900
323,3915
324,3930
325,3940
326,3955
327,3970
328,3980
329,3995
330,4010
331,4020
332,4035
333,4050
334,4060
335,4075
336,4090
337,4100
338,4115
339,4130
340,4140
341,4155
342,4170
343,4180
344,4195
345,4210
346,4220
347,4235
348,4250
349,4260
350,4275
351,4290
352,4300
353,4315
354,4330
355,4340
356,4355
357,4370
358,4380
359,4395
360,4410
361,4420
362,4435
363,4450
364,4460
365,4475
366,4490
367,4500
368,4515
369,4530
370,4540
371,4555
372,4570
373,4580
374,4595
375,4610
376,4620
377,4635
378,4650
379,4660
380,4675
381,4690
382,4700
383,4715
384,4730
385,4740
386,4755
387,4770
388,4780
389,4795
390,4810
391,4820
392,4835
393,4850
394,4860
395,4875
396,4890
397,4900
398,4915
399,4930
400,4940
401,4955
402,4970
403,4980
404,4995
405,5010
406,5020
407,5035
408,5050
409,5060
410,5075
411,5090
412,5100
413,5115
414,5130
415,5140
416,5155
417,5170
418,5180
419,5195
420,5210
421,5220
422,5235
423,5250
424,5260
425,5275
426,5290
427,5300
428,5315
429,5330
430,5340
431,5355
432,5370
433,5380
434,5395
435,5410
436,5420
437,5435
438,5450
439,5460
440,5475
441,5490
442,5500
443,5515
444,5530
445,5540
446,5555
447,5570
448,5580
449,5595
450,5610
451,5620
452,5635
453,5650
454,5660
455,5675
456,5690
457,5700
458,5715
459,5730
460,5740
461,5755
462,5770
463,5780
464,5795
465,5810
466,5820
467,5835
468,5850
469,5860
470,5875
471,5890
472,5900
473,5915
474,5930
475,5940
476,5955
477,5970
478,5980
479,5995
480,6010
481,6020
482,6035
483,6050
484,6060
485,6075
486,6090
487,6100
488,6115
489,6130
490,6140
491,6155
492,6170
493,6180
494,6195
495,6210
496,6220
497,6235
498,6250
499,6260
500,6275
501,6290
502,6300
503,6315
504,6330
505,6340
506,6355
507,6370
508,6380
509,6395
510,6410
511,6420
512,6435
