Time,ILI_Cases
2009-07-06,
2009-07-13,
2009-07-20,
2009-07-27,
2009-08-03,
2009-08-10,
2009-08-17,
2009-08-24,
2009-08-31,
2009-09-07,
2009-09-14,
2009-09-21,
2009-10-05,
2009-10-19,4111.0
2009-10-26,10664.0
2009-11-09,16099.0
2009-11-30,3112.0
2010-01-04,1484.0
2010-01-25,2050.0
2010-02-01,2152.0
2010-02-08,2137.0
2010-02-22,1912.0
2010-03-01,1851.0
2010-03-08,1730.0
2010-03-15,1315.0
2010-03-22,1100.0
2010-03-29,845.0
2010-04-05,878.0
2010-04-12,712.0
2010-04-19,676.0
2010-04-26,445.0
2010-05-03,435.0
2010-05-10,493.0
2010-05-17,472.0
2010-05-24,450.0
2010-05-31,314.0
2010-06-07,201.0
2010-06-14,172.0
2010-06-21,219.0
2010-10-18,722.0
2010-10-25,938.0
2010-11-01,930.0
2010-11-08,1063.0
2010-11-15,913.0
2010-11-22,1141.0
2010-11-29,1908.0
2010-12-06,1519.0
2010-12-13,2226.0
2010-12-20,2865.0
2010-12-27,3807.0
2011-01-03,4915.0
2011-01-10,6640.0
2011-01-17,8682.0
2011-01-24,11103.0
2011-01-31,12297.0
2011-02-07,10673.0
2011-02-14,8419.0
2011-02-21,5377.0
2011-02-28,3938.0
2011-03-07,3154.0
2011-03-14,2002.0
2011-03-21,1388.0
2011-03-28,996.0
2011-04-04,870.0
2011-04-11,664.0
2011-04-18,488.0
2011-04-25,412.0
2011-10-17,349.0
2011-10-24,388.0
2011-10-31,464.0
2011-11-07,686.0
2011-11-14,896.0
2011-11-21,1021.0
2011-11-28,1156.0
2011-12-05,1265.0
2011-12-12,1626.0
2011-12-19,1415.0
2011-12-26,3526.0
2012-01-02,2845.0
2012-01-09,3997.0
2012-01-16,6858.0
2012-01-23,9668.0
2012-01-30,9845.0
2012-02-06,9611.0
2012-02-13,7312.0
2012-02-20,5772.0
2012-02-27,4030.0
2012-03-05,2919.0
2012-03-12,1861.0
2012-03-19,1252.0
2012-03-26,975.0
2012-04-02,610.0
2012-04-09,678.0
2012-04-16,616.0
2012-04-23,313.0
2012-10-15,350.0
2012-10-22,505.0
2012-10-29,429.0
2012-11-05,566.0
2012-11-12,680.0
2012-11-19,808.0
2012-11-26,1003.0
2012-12-03,1145.0
2012-12-10,1643.0
2012-12-17,1783.0
2012-12-24,1686.0
2012-12-31,3294.0
2013-01-07,4574.0
2013-01-14,6432.0
2013-01-21,8169.0
2013-01-28,10119.0
2013-02-04,10492.0
2013-02-11,9582.0
2013-02-18,9262.0
2013-02-25,7955.0
2013-03-04,5393.0
2013-03-11,3927.0
2013-03-18,2745.0
2013-03-25,1789.0
2013-04-01,1272.0
2013-04-08,903.0
2013-04-15,571.0
2013-04-22,398.0
2013-10-14,293.0
2013-10-21,309.0
2013-10-28,347.0
2013-11-04,522.0
2013-11-11,619.0
2013-11-18,878.0
2013-11-25,1126.0
2013-12-02,1337.0
2013-12-09,1473.0
2013-12-16,1957.0
2013-12-23,1656.0
2013-12-30,1931.0
2014-01-06,3759.0
2014-01-13,4635.0
2014-01-20,5424.0
2014-01-27,6302.0
2014-02-03,6348.0
2014-02-10,5704.0
2014-02-17,4829.0
2014-02-24,4217.0
2014-03-03,3324.0
2014-03-10,2938.0
2014-03-17,2195.0
2014-03-24,1749.0
2014-03-31,1261.0
2014-04-07,974.0
2014-04-14,581.0
2014-04-21,310.0
2014-10-13,339.0
2014-10-20,459.0
2014-10-27,504.0
