Time,ILI_Cases
2007-12-31,
2008-01-07,
2008-01-14,
2008-01-21,
2008-01-28,
2008-02-04,
2008-02-11,
2008-02-18,
2008-02-25,
2008-03-03,
2008-03-10,
2008-03-17,
2008-03-24,
2008-03-31,
2008-04-07,
2008-04-14,
2008-04-21,
2008-04-28,
2008-05-05,
2008-05-12,
2008-05-19,
2008-05-26,
2008-06-02,
2008-06-09,
2008-06-16,
2008-06-23,
2008-06-30,
2008-07-07,
2008-07-14,
2008-07-21,
2008-07-28,
2008-08-04,
2008-08-11,
2008-08-18,
2008-08-25,
2008-09-01,
2008-09-08,
2008-09-15,
2008-09-22,
2008-09-29,
2008-10-06,
2008-10-13,
2008-10-20,
2008-10-27,
2008-11-03,
2008-11-10,
2008-11-17,
2008-11-24,
2008-12-01,
2008-12-08,
2008-12-15,
2008-12-22,
2009-12-21,
2010-01-04,
2010-01-11,
2010-01-18,
2010-01-25,
2010-02-01,
2010-02-08,
2010-02-15,
2010-02-22,
2010-03-01,
2010-03-08,
2010-03-15,
2010-03-22,
2010-03-29,
2010-04-05,
2010-04-12,
2010-04-19,
2010-04-26,
2010-05-03,
2010-05-10,
2010-05-17,
2010-05-24,
2010-05-31,
2010-06-07,
2010-06-14,
2010-06-21,
2010-06-28,
2010-07-05,
2010-07-12,
2010-07-19,
2010-07-26,
2010-08-02,
2010-08-09,
2010-08-16,
2010-08-23,
2010-08-30,
2010-09-06,
2010-09-13,
2010-09-20,
2010-09-27,
2010-10-04,
2010-10-11,
2010-10-18,
2010-10-25,
2010-11-01,
2010-11-08,
2010-11-15,
2010-11-22,
2010-11-29,
2010-12-06,
2010-12-13,
2010-12-20,
2010-12-27,
2011-01-03,
2011-01-10,
2011-01-17,
2011-01-24,
2011-01-31,
2011-02-07,
2011-02-14,
2011-02-21,
2011-02-28,
2011-03-07,
2011-03-14,
2011-03-21,
2011-03-28,
2011-04-04,
2011-04-11,
2011-04-18,
2011-04-25,
2011-05-02,
2011-05-09,
2011-05-16,
2011-05-23,
2011-05-30,
2011-06-06,
2011-06-13,
2011-06-20,
2011-06-27,
2011-07-04,
2011-07-11,
2011-07-18,
2011-07-25,
2011-08-01,
2011-08-08,
2011-08-15,
2011-08-22,
2011-08-29,
2011-09-05,
2011-09-12,
2011-09-19,
2011-09-26,
2011-10-03,
2011-10-10,
2011-10-17,
2011-10-24,
2011-10-31,
2011-11-07,
2011-11-14,
2011-11-21,
2011-11-28,
2011-12-05,
2011-12-12,
2011-12-19,
2011-12-26,
2012-01-02,
2012-01-09,
2012-01-16,
2012-01-23,
