Time,ILI_Cases
2014-12-01,15471.0
2014-12-08,15966.0
2014-12-15,16065.0
2014-12-22,10968.0
2014-12-29,7196.0
2015-01-05,15882.0
2015-01-12,14859.0
2015-01-19,13981.0
2015-01-26,11519.0
2015-02-02,10962.0
2015-02-09,11434.0
2015-02-16,5781.0
2015-02-23,9260.0
2015-03-02,8709.0
2015-03-09,9237.0
2015-03-16,8761.0
2015-03-23,7907.0
2015-03-30,6907.0
2015-04-06,7124.0
2015-04-13,6689.0
2015-04-20,6517.0
2015-04-27,6634.0
2015-05-04,6735.0
2015-05-11,6936.0
2015-05-18,6676.0
2015-05-25,5738.0
2015-06-01,5515.0
2015-06-08,5582.0
2015-06-15,4162.0
2015-06-22,3483.0
2015-06-29,3138.0
2015-07-06,2540.0
2015-07-13,2093.0
2015-07-20,2843.0
2015-07-27,2501.0
2015-08-03,2919.0
2015-08-10,2568.0
2015-08-17,2529.0
2015-08-24,3064.0
2015-08-31,3573.0
2015-09-07,5269.0
2015-09-14,6839.0
2015-09-21,6961.0
2015-09-28,6593.0
2015-10-05,6906.0
2015-10-12,7249.0
2015-10-19,7453.0
2015-10-26,7289.0
2015-11-02,8113.0
2015-11-09,6959.0
2015-11-16,8599.0
2015-11-23,8904.0
2015-11-30,9474.0
2015-12-07,10903.0
2015-12-14,11668.0
2015-12-21,10555.0
2015-12-28,5652.0
2016-01-04,10089.0
2016-01-11,9637.0
2016-01-18,8669.0
2016-01-25,9289.0
2016-02-01,8405.0
2016-02-08,4534.0
2016-02-15,12927.0
2016-02-22,16859.0
2016-02-29,16946.0
2016-03-07,14347.0
2016-03-14,14311.0
2016-03-21,13339.0
2016-03-28,10125.0
2016-04-04,9379.0
2016-04-11,8757.0
2016-04-18,9323.0
2016-04-25,8092.0
2016-05-02,8118.0
2016-05-09,7266.0
2016-05-16,6597.0
2016-05-23,5986.0
2016-05-30,4842.0
2016-06-06,5105.0
2016-06-13,3970.0
2016-06-20,3690.0
2016-06-27,2684.0
2016-07-04,3034.0
2016-07-11,980.0
2016-07-18,3113.0
2016-07-25,2978.0
2016-08-01,2878.0
2016-08-08,2951.0
2016-08-15,3635.0
2016-08-22,3844.0
2016-08-29,3618.0
2016-09-05,4818.0
2016-09-12,6325.0
2016-09-19,6671.0
2016-09-26,6168.0
2016-10-03,6057.0
2016-10-10,6521.0
2016-10-17,7063.0
2016-10-24,6986.0
2016-10-31,7373.0
2016-11-07,9033.0
2016-11-14,10472.0
2016-11-21,8907.0
2016-11-28,11163.0
2016-12-05,12143.0
2016-12-12,13956.0
2016-12-19,14957.0
2016-12-26,10526.0
2017-01-02,21415.0
2017-01-09,20519.0
2017-01-16,20989.0
2017-01-23,17517.0
2017-01-30,12444.0
2017-02-06,10925.0
2017-02-13,9185.0
2017-02-20,6842.0
2017-02-27,3415.0
2017-03-06,5867.0
2017-03-13,6252.0
2017-03-20,5961.0
2017-03-27,5419.0
2017-04-03,5714.0
2017-04-10,5867.0
2017-04-17,6004.0
2017-04-24,6187.0
2017-05-01,6162.0
2017-05-08,
2017-05-15,
2017-05-22,
2017-05-29,
2017-06-05,
2017-06-12,
2017-06-19,
2017-06-26,
2017-07-03,
2017-07-10,
2017-07-17,
2017-07-24,
2017-07-31,
2017-08-07,
2017-08-14,
2017-08-21,
2017-08-28,
2017-09-04,
2017-09-11,
2017-09-18,
2017-09-25,
2017-10-02,
2017-10-09,6592.0
2017-10-16,7148.0
2017-10-23,7739.0
2017-10-30,8004.0
2017-11-06,7490.0
2017-11-13,7652.0
2017-11-20,7571.0
2017-11-27,8432.0
2017-12-04,8904.0
2017-12-11,11206.0
2017-12-18,16876.0
2017-12-25,18795.0
2018-01-01,17247.0
2018-01-08,13775.0
2018-01-15,9949.0
2018-01-22,7709.0
2018-01-29,7688.0
2018-02-05,8943.0
2018-02-12,6299.0
2018-02-19,8571.0
2018-02-26,8747.0
2018-03-05,8972.0
2018-03-12,10904.0
2018-03-19,10090.0
2018-03-26,9252.0
2018-04-02,8569.0
2018-04-09,8432.0
2018-04-16,8066.0
2018-04-23,7384.0
2018-04-30,7315.0
2018-05-07,6721.0
2018-05-14,6567.0
2018-05-21,5730.0
2018-05-28,4757.0
2018-06-04,5079.0
2018-06-11,4034.0
2018-06-18,3363.0
2018-06-25,2941.0
2018-07-02,2248.0
2018-07-09,1550.0
