Time,ILI_Cases
2009-07-06,154.0
2009-07-13,270.0
2009-07-20,415.0
2009-07-27,788.0
2009-08-03,863.0
2009-08-10,1019.0
2009-08-17,1181.0
2009-08-24,1736.0
2009-08-31,1419.0
2009-09-07,1430.0
2009-09-14,1057.0
2009-09-21,737.0
2009-09-28,1038.0
2009-10-05,543.0
2009-10-12,637.0
2009-10-19,1203.0
2009-10-26,2777.0
2009-11-02,4431.0
2009-11-09,3684.0
2009-11-16,2915.0
2009-11-23,1922.0
2009-11-30,1224.0
2009-12-07,819.0
2009-12-14,491.0
2009-12-21,187.0
2009-12-28,50.0
2010-01-04,297.0
2010-01-11,315.0
2010-01-18,223.0
2010-01-25,209.0
2010-02-01,191.0
2010-02-08,165.0
2010-02-15,163.0
2010-02-22,141.0
2010-03-01,144.0
2010-03-08,101.0
2010-03-15,147.0
2010-03-22,80.0
2010-03-29,16.0
2010-04-05,74.0
2010-04-12,118.0
2010-04-19,95.0
2010-04-26,113.0
2010-05-03,111.0
2010-05-10,74.0
2010-05-17,72.0
2010-05-24,86.0
2010-05-31,76.0
2010-06-07,74.0
2010-06-14,69.0
2010-06-21,52.0
2010-06-28,67.0
2010-07-05,47.0
2010-07-12,44.0
2010-07-19,38.0
2010-07-26,23.0
2010-08-02,33.0
2010-08-09,42.0
2010-08-16,60.0
2010-08-23,84.0
2010-08-30,90.0
2010-09-06,86.0
2010-09-13,134.0
2010-09-20,143.0
2010-09-27,122.0
2010-10-04,166.0
2010-10-11,135.0
2010-10-18,132.0
2010-10-25,135.0
2010-11-01,147.0
2010-11-08,202.0
2010-11-15,176.0
2010-11-22,171.0
2010-11-29,205.0
2010-12-06,257.0
2010-12-13,287.0
2010-12-20,338.0
2010-12-27,243.0
2011-01-03,1008.0
2011-01-10,1176.0
2011-01-17,1519.0
2011-01-24,1119.0
2011-01-31,947.0
2011-02-07,965.0
2011-02-14,723.0
2011-02-21,632.0
2011-02-28,519.0
2011-03-07,427.0
2011-03-14,285.0
2011-03-21,269.0
2011-03-28,229.0
2011-04-04,216.0
2011-04-11,172.0
2011-04-18,5.0
2011-04-25,99.0
2011-05-02,105.0
2011-05-09,112.0
2011-05-16,62.0
2011-06-13,0.0
2011-06-20,0.0
2011-08-01,0.0
2011-08-08,0.0
2011-08-15,0.0
2011-08-22,0.0
2011-09-05,0.0
2011-10-03,122.0
2011-10-10,159.0
2011-10-17,198.0
2011-10-24,168.0
2011-10-31,164.0
2011-11-07,186.0
2011-11-14,169.0
2011-11-21,251.0
2011-11-28,242.0
2011-12-05,245.0
2011-12-12,239.0
2011-12-19,286.0
2011-12-26,161.0
2012-01-02,373.0
2012-01-09,413.0
2012-01-16,411.0
2012-01-23,453.0
2012-01-30,522.0
2012-02-06,800.0
2012-02-13,940.0
2012-02-20,995.0
2012-02-27,797.0
2012-03-05,968.0
2012-03-12,795.0
2012-03-19,722.0
