Time,ILI_Cases
2009-07-06,119.0
2009-07-13,57.0
2009-07-20,39.0
2009-07-27,116.0
2009-08-03,65.0
2009-08-10,96.0
2009-08-17,80.0
2009-08-24,93.0
2009-08-31,125.0
2009-09-07,245.0
2009-09-14,529.0
2009-09-21,492.0
2009-09-28,805.0
2009-10-05,1268.0
2009-10-12,858.0
2009-10-19,1033.0
2009-10-26,1489.0
2009-11-02,2348.0
2009-11-09,3268.0
2009-11-16,5639.0
2009-11-23,6563.0
2009-11-30,5456.0
2009-12-07,3815.0
2009-12-14,2758.0
2009-12-21,1624.0
2009-12-28,854.0
2010-01-04,1309.0
2010-01-11,1011.0
2010-01-18,1096.0
2010-01-25,1190.0
2010-02-01,1064.0
2010-02-08,1127.0
2010-02-15,1127.0
2010-02-22,1291.0
2010-03-01,1092.0
2010-03-08,2051.0
2010-03-15,1112.0
2010-03-22,1142.0
2010-03-29,951.0
2010-04-05,898.0
2010-04-12,625.0
2010-04-19,1022.0
2010-04-26,835.0
2010-05-03,708.0
2010-05-10,966.0
2010-05-17,347.0
2010-05-24,181.0
2010-05-31,211.0
2010-06-07,245.0
2010-06-14,194.0
2010-06-21,190.0
2010-06-28,129.0
2010-07-05,111.0
2010-07-12,120.0
2010-07-19,150.0
2010-07-26,98.0
2010-08-02,89.0
2010-08-09,85.0
2010-08-16,95.0
2010-08-23,107.0
2010-08-30,136.0
2010-09-06,219.0
2010-09-13,251.0
2010-09-20,615.0
2010-09-27,541.0
2010-10-04,447.0
2010-10-11,522.0
2010-10-18,781.0
2010-10-25,558.0
2010-11-01,469.0
2010-11-08,348.0
2010-11-15,636.0
2010-11-22,546.0
2010-11-29,768.0
2010-12-06,828.0
2010-12-13,842.0
2010-12-20,667.0
2010-12-27,832.0
2011-01-03,1192.0
2011-01-10,1417.0
2011-01-17,2238.0
2011-01-24,2569.0
2011-01-31,3031.0
2011-02-07,2389.0
2011-02-14,2297.0
2011-02-21,1620.0
2011-02-28,2105.0
2011-03-07,1973.0
2011-03-14,1320.0
2011-03-21,954.0
2011-03-28,883.0
2011-04-04,664.0
2011-04-11,508.0
2011-04-18,252.0
2011-04-25,141.0
2011-05-02,174.0
2011-05-09,236.0
2011-05-16,200.0
2011-05-23,216.0
2011-05-30,180.0
2011-06-06,90.0
2011-06-13,110.0
2011-06-20,103.0
2011-06-27,129.0
2011-07-04,51.0
2011-07-11,45.0
2011-07-18,42.0
2011-07-25,98.0
2011-08-01,61.0
2011-08-08,47.0
2011-08-15,48.0
2011-08-22,41.0
2011-08-29,42.0
2011-09-05,142.0
2011-09-12,186.0
2011-09-19,300.0
2011-09-26,455.0
2011-10-03,668.0
2011-10-10,1317.0
2011-10-17,1613.0
2011-10-24,1659.0
2011-10-31,444.0
2011-11-07,1017.0
2011-11-14,1389.0
2011-11-21,1462.0
2011-11-28,1596.0
2011-12-05,1852.0
2011-12-12,978.0
2011-12-19,2019.0
2011-12-26,989.0
2012-01-02,1342.0
