Time,ILI_Cases
2009-07-06,3.0
2009-07-13,1.0
2009-07-20,1.0
2009-07-27,1.0
2009-08-03,3.0
2009-08-10,4.0
2009-08-17,1.0
2009-08-24,1.0
2009-08-31,1.0
2009-09-07,4.0
2009-09-14,7.0
2009-09-21,7.0
2009-09-28,7.0
2009-10-05,3.0
2009-10-12,6.0
2009-10-19,7.0
2009-10-26,22.0
2009-11-02,27.0
2009-11-09,67.0
2009-11-16,60.0
2009-11-23,45.0
2009-11-30,30.0
2009-12-07,35.0
2009-12-14,23.0
2009-12-21,8.0
2009-12-28,10.0
2010-01-04,8.0
2010-01-11,4.0
2010-01-18,3.0
2010-01-25,4.0
2010-02-01,2.0
2010-02-08,2.0
2010-02-15,5.0
2010-02-22,3.0
2010-03-01,4.0
2010-03-08,2.0
2010-03-15,3.0
2010-03-22,1.0
2010-03-29,1.0
2010-04-05,0.0
2010-04-12,0.0
2010-04-19,0.0
2010-04-26,0.0
2010-05-03,0.0
2010-05-10,1.0
2010-05-17,2.0
2010-05-24,1.0
2010-05-31,1.0
2010-06-07,1.0
2010-06-14,0.0
2010-06-21,0.0
2010-06-28,0.0
2010-07-05,0.0
2010-07-12,0.0
2010-07-19,0.0
2010-07-26,0.0
2010-08-02,0.0
2010-08-09,0.0
2010-08-16,0.0
2010-08-23,0.0
2010-08-30,1.0
2010-09-06,0.0
2010-09-13,1.0
2010-09-20,0.0
2010-09-27,1.0
2010-10-04,0.0
2010-10-11,3.0
2010-10-18,1.0
2010-10-25,2.0
2010-11-01,1.0
2010-11-08,1.0
2010-11-15,4.0
2010-11-22,2.0
2010-11-29,7.0
2010-12-06,7.0
2010-12-13,12.0
2010-12-20,15.0
2010-12-27,15.0
2011-01-03,36.0
2011-01-10,34.0
2011-01-17,45.0
2011-01-24,22.0
2011-01-31,29.0
2011-02-07,22.0
2011-02-14,13.0
2011-02-21,14.0
2011-02-28,3.0
2011-03-07,6.0
2011-03-14,2.0
2011-03-21,1.0
2011-03-28,3.0
2011-04-04,1.0
2011-04-11,1.0
2011-04-18,0.0
2011-04-25,0.0
2011-05-02,0.0
2011-05-09,2.0
2011-05-16,0.0
2011-05-23,0.0
2011-05-30,0.0
2011-06-06,0.0
2011-06-13,0.0
2011-06-20,0.0
2011-06-27,0.0
2011-07-04,0.0
2011-07-11,0.0
2011-07-18,0.0
2011-07-25,0.0
2011-08-01,0.0
2011-08-08,0.0
2011-08-15,0.0
2011-08-22,0.0
2011-08-29,0.0
2011-09-05,0.0
2011-09-12,0.0
2011-09-19,0.0
2011-09-26,0.0
2011-10-03,0.0
2011-10-10,2.0
2011-10-17,5.0
2011-10-24,1.0
2011-10-31,2.0
2011-11-07,1.0
2011-11-14,2.0
2011-11-21,7.0
2011-11-28,7.0
2011-12-05,0.0
2011-12-12,1.0
2011-12-19,1.0
2011-12-26,2.0
2012-01-02,3.0
2012-01-09,2.0
2012-01-16,2.0
2012-01-23,5.0
2012-01-30,10.0
2012-02-06,20.0
2012-02-13,25.0
2012-02-20,44.0
2012-02-27,42.0
2012-03-05,45.0
2012-03-12,23.0
2012-03-19,10.0
2012-03-26,7.0
2012-04-02,6.0
2012-04-09,0.0
2012-04-16,1.0
2012-04-23,0.0
2012-04-30,1.0
2012-05-07,0.0
2012-05-14,0.0
2012-05-21,0.0
2012-05-28,0.0
2012-06-04,0.0
2012-06-11,0.0
2012-06-18,0.0
2012-06-25,0.0
2012-07-02,0.0
2012-07-09,0.0
2012-07-16,1.0
2012-07-23,0.0
2012-07-30,0.0
2012-08-06,0.0
2012-08-13,0.0
2012-08-20,0.0
2012-08-27,0.0
2012-09-03,0.0
2012-09-10,0.0
2012-09-17,0.0
2012-09-24,0.0
2012-10-01,0.0
2012-10-08,3.0
2012-10-15,2.0
2012-10-22,2.0
2012-10-29,1.0
2012-11-05,3.0
2012-11-12,5.0
2012-11-19,1.0
2012-11-26,3.0
2012-12-03,3.0
2012-12-10,0.0
2012-12-17,4.0
2012-12-24,0.0
2012-12-31,1.0
2013-01-07,2.0
