Time,ILI_Cases
2009-09-28,47303.0
2009-10-05,55857.0
2009-10-12,66517.0
2009-10-19,64877.0
2009-10-26,55182.0
2009-11-02,41669.0
2009-11-09,31884.0
2009-11-16,22238.0
2009-11-23,21880.0
2009-11-30,18926.0
2009-12-07,16816.0
2009-12-14,14154.0
2009-12-21,15499.0
2010-01-04,14325.0
2010-01-11,13908.0
2010-01-18,14441.0
2010-01-25,14797.0
2010-02-01,15877.0
2010-02-08,15308.0
2010-02-15,14770.0
2010-02-22,16280.0
2010-03-01,14765.0
2010-03-08,14503.0
2010-03-15,12854.0
2010-03-22,11280.0
2010-03-29,10336.0
2010-04-05,8636.0
2010-04-12,8562.0
2010-04-19,8258.0
2010-04-26,8489.0
2010-05-03,7857.0
2010-05-10,7733.0
2010-05-17,7428.0
2010-05-24,6891.0
2010-05-31,6386.0
2010-06-07,5697.0
2010-06-14,5081.0
2010-06-21,5266.0
2010-06-28,4614.0
2010-07-05,4579.0
2010-07-12,4116.0
2010-07-19,3868.0
2010-07-26,3636.0
2010-08-02,3952.0
2010-08-09,3662.0
2010-08-16,4054.0
2010-08-23,3706.0
2010-08-30,2829.0
2011-01-03,19944.0
2011-01-10,20738.0
2011-01-17,26148.0
2011-01-24,32003.0
2011-01-31,34228.0
2011-02-07,34472.0
2011-02-14,36418.0
2011-02-21,31324.0
2011-02-28,24623.0
2011-03-07,20351.0
2011-03-14,17259.0
2011-03-21,14005.0
2011-03-28,12871.0
2011-04-04,11549.0
2011-04-11,9299.0
2011-04-18,8685.0
2011-04-25,7830.0
2011-05-02,7249.0
2011-05-09,7191.0
2011-05-16,6453.0
2011-05-23,6220.0
2011-05-30,5940.0
2011-06-06,5535.0
2011-06-13,4944.0
2011-06-20,4431.0
2011-06-27,4134.0
2011-07-04,4006.0
2011-07-11,3707.0
2011-07-18,3591.0
2011-07-25,3526.0
2011-08-01,3146.0
2011-08-08,3464.0
2011-08-15,3882.0
2011-08-22,4480.0
2011-08-29,4702.0
2011-09-05,4746.0
2011-09-12,5462.0
2011-09-19,5724.0
2011-09-26,6511.0
2011-10-03,9365.0
2011-10-10,9807.0
2011-10-17,9958.0
2011-10-24,10298.0
2011-10-31,11396.0
2011-11-07,11507.0
2011-11-14,11725.0
2011-11-21,10388.0
2011-11-28,11479.0
2011-12-05,11220.0
2011-12-12,12137.0
2011-12-19,11957.0
