time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
0,9.999999974752427e-07,,,,,,,,,,
1,9.999999974752427e-07,,,,,,,,,,
2,9.999999974752427e-07,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,40.0,,,,,,,,,,
9,57.0,,,,,,,,,,
10,55.0,,,,,,,,,,
11,,,,,,,,,,,
12,103.0,,,,,,,,,,
13,117.0,,,,,,,,,,
14,141.0,,,,,,,,,,
15,120.0,,,,,,,,,,
16,153.0,,,,,,,,,,
17,341.0,,,,,,,,,,
18,575.0,,,,,,,,,,
19,1094.0,,,,,,,,,,
20,1180.0,,,,,,,,,,
21,964.0,,,,,,,,,,
22,864.0,,,,,,,,,,
23,656.0,,,,,,,,,,
24,223.0,,,,,,,,,,
25,98.0,,,,,,,,,,
26,380.0,,,,,,,,,,
27,506.0,,,,,,,,,,
28,448.0,,,,,,,,,,
29,439.0,,,,,,,,,,
30,463.0,,,,,,,,,,
31,471.0,,,,,,,,,,
32,490.0,,,,,,,,,,
33,449.0,,,,,,,,,,
34,450.0,,,,,,,,,,
35,404.0,,,,,,,,,,
36,312.0,,,,,,,,,,
37,242.0,,,,,,,,,,
38,78.0,,,,,,,,,,
39,5.0,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,211.0,,,,,,,,,,
66,261.0,,,,,,,,,,
67,446.0,,,,,,,,,,
68,229.0,,,,,,,,,,
69,252.0,,,,,,,,,,
70,472.0,,,,,,,,,,
71,532.0,,,,,,,,,,
72,442.0,,,,,,,,,,
73,591.0,,,,,,,,,,
74,491.0,,,,,,,,,,
75,542.0,,,,,,,,,,
76,336.0,,,,,,,,,,
77,175.0,,,,,,,,,,
78,375.0,,,,,,,,,,
79,761.0,,,,,,,,,,
80,893.0,,,,,,,,,,
81,949.0,,,,,,,,,,
82,1052.0,,,,,,,,,,
83,790.0,,,,,,,,,,
84,812.0,,,,,,,,,,
85,625.0,,,,,,,,,,
86,718.0,,,,,,,,,,
87,518.0,,,,,,,,,,
88,470.0,,,,,,,,,,
89,442.0,,,,,,,,,,
90,362.0,,,,,,,,,,
91,9.999999974752427e-07,,,,,,,,,,
92,9.999999974752427e-07,,,,,,,,,,
93,9.999999974752427e-07,,,,,,,,,,
94,9.999999974752427e-07,,,,,,,,,,
95,9.999999974752427e-07,,,,,,,,,,
96,9.999999974752427e-07,,,,,,,,,,
97,9.999999974752427e-07,,,,,,,,,,
98,9.999999974752427e-07,,,,,,,,,,
99,9.999999974752427e-07,,,,,,,,,,
100,9.999999974752427e-07,,,,,,,,,,
101,9.999999974752427e-07,,,,,,,,,,
102,9.999999974752427e-07,,,,,,,,,,
103,9.999999974752427e-07,,,,,,,,,,
104,9.999999974752427e-07,,,,,,,,,,
105,9.999999974752427e-07,,,,,,,,,,
106,9.999999974752427e-07,,,,,,,,,,
107,9.999999974752427e-07,,,,,,,,,,
108,9.999999974752427e-07,,,,,,,,,,
109,9.999999974752427e-07,,,,,,,,,,
110,9.999999974752427e-07,,,,,,,,,,
111,9.999999974752427e-07,,,,,,,,,,
112,9.999999974752427e-07,,,,,,,,,,
113,9.999999974752427e-07,,,,,,,,,,
114,9.999999974752427e-07,,,,,,,,,,
115,9.999999974752427e-07,,,,,,,,,,
116,9.999999974752427e-07,,,,,,,,,,
117,131.0,,,,,,,,,,
118,172.0,,,,,,,,,,
119,388.0,,,,,,,,,,
120,192.0,,,,,,,,,,
121,321.0,,,,,,,,,,
122,445.0,,,,,,,,,,
123,439.0,,,,,,,,,,
124,407.0,,,,,,,,,,
125,461.0,,,,,,,,,,
126,387.0,,,,,,,,,,
127,462.0,,,,,,,,,,
128,246.0,,,,,,,,,,
129,151.0,,,,,,,,,,
130,133.0,,,,,,,,,,
131,462.0,,,,,,,,,,
132,443.0,,,,,,,,,,
133,466.0,,,,,,,,,,
134,507.0,,,,,,,,,,
135,637.0,,,,,,,,,,
136,608.0,,,,,,,,,,
137,736.0,,,,,,,,,,
138,877.0,,,,,,,,,,
139,782.0,,,,,,,,,,
140,669.0,,,,,,,,,,
141,546.0,,,,,,,,,,
142,397.0,,,,,,,,,,
143,119.0,,,,,,,,,,
144,9.0,,,,,,,,,,
145,12.0,,,,,,,,,,
146,9.999999974752427e-07,,,,,,,,,,
147,9.999999974752427e-07,,,,,,,,,,
148,9.999999974752427e-07,,,,,,,,,,
149,9.999999974752427e-07,,,,,,,,,,
150,9.999999974752427e-07,,,,,,,,,,
151,9.999999974752427e-07,,,,,,,,,,
152,9.999999974752427e-07,,,,,,,,,,
153,9.999999974752427e-07,,,,,,,,,,
154,9.999999974752427e-07,,,,,,,,,,
155,9.999999974752427e-07,,,,,,,,,,
156,9.999999974752427e-07,,,,,,,,,,
157,9.999999974752427e-07,,,,,,,,,,
158,9.999999974752427e-07,,,,,,,,,,
159,9.999999974752427e-07,,,,,,,,,,
160,9.999999974752427e-07,,,,,,,,,,
161,9.999999974752427e-07,,,,,,,,,,
162,9.999999974752427e-07,,,,,,,,,,
163,9.999999974752427e-07,,,,,,,,,,
164,9.999999974752427e-07,,,,,,,,,,
165,9.999999974752427e-07,,,,,,,,,,
166,9.999999974752427e-07,,,,,,,,,,
167,9.999999974752427e-07,,,,,,,,,,
168,9.999999974752427e-07,,,,,,,,,,
169,141.0,,,,,,,,,,
170,178.0,,,,,,,,,,
171,319.0,,,,,,,,,,
172,279.0,,,,,,,,,,
173,224.0,,,,,,,,,,
174,383.0,,,,,,,,,,
175,397.0,,,,,,,,,,
176,382.0,,,,,,,,,,
177,437.0,,,,,,,,,,
178,429.0,,,,,,,,,,
179,394.0,,,,,,,,,,
180,168.0,,,,,,,,,,
181,29.0,,,,,,,,,,
182,195.0,,,,,,,,,,
183,605.0,,,,,,,,,,
184,704.0,,,,,,,,,,
185,743.0,,,,,,,,,,
186,906.0,,,,,,,,,,
187,992.0,,,,,,,,,,
188,922.0,,,,,,,,,,
189,909.0,,,,,,,,,,
190,911.0,,,,,,,,,,
191,740.0,,,,,,,,,,
192,717.0,,,,,,,,,,
193,564.0,,,,,,,,,,
194,433.0,,,,,,,,,,
195,187.0,,,,,,,,,,
196,66.0,,,,,,,,,,
197,9.999999974752427e-07,,,,,,,,,,
198,9.999999974752427e-07,,,,,,,,,,
199,9.999999974752427e-07,,,,,,,,,,
200,,,,,,,,,,,
201,,,,,,,,,,,
202,,,,,,,,,,,
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,,,,,,,,,,,
208,9.999999974752427e-07,,,,,,,,,,
209,9.999999974752427e-07,,,,,,,,,,
210,9.999999974752427e-07,,,,,,,,,,
211,9.999999974752427e-07,,,,,,,,,,
212,9.999999974752427e-07,,,,,,,,,,
213,9.999999974752427e-07,,,,,,,,,,
214,9.999999974752427e-07,,,,,,,,,,
215,9.999999974752427e-07,,,,,,,,,,
216,9.999999974752427e-07,,,,,,,,,,
217,9.999999974752427e-07,,,,,,,,,,
218,9.999999974752427e-07,,,,,,,,,,
219,9.999999974752427e-07,,,,,,,,,,
220,9.999999974752427e-07,,,,,,,,,,
221,121.0,,,,,,,,,,
222,151.0,,,,,,,,,,
223,295.0,,,,,,,,,,
224,265.0,,,,,,,,,,
225,253.0,,,,,,,,,,
226,354.0,,,,,,,,,,
227,365.0,,,,,,,,,,
228,380.0,,,,,,,,,,
229,373.0,,,,,,,,,,
230,411.0,,,,,,,,,,
231,434.0,,,,,,,,,,
232,147.0,,,,,,,,,,
233,9.999999974752427e-07,,,,,,,,,,
234,14.0,,,,,,,,,,
235,369.0,,,,,,,,,,
236,425.0,,,,,,,,,,
237,478.0,,,,,,,,,,
238,462.0,,,,,,,,,,
239,501.0,,,,,,,,,,
240,634.0,,,,,,,,,,
241,367.0,,,,,,,,,,
242,523.0,,,,,,,,,,
243,526.0,,,,,,,,,,
244,615.0,,,,,,,,,,
245,474.0,,,,,,,,,,
246,435.0,,,,,,,,,,
247,132.0,,,,,,,,,,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,147.0,,,,,,,,,,
274,166.0,,,,,,,,,,
275,309.0,,,,,,,,,,
276,272.0,,,,,,,,,,
