time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
0,248.0,,,,,,,,,,
1,247.0,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,9.999999974752427e-07,,,,,,,,,,
5,422.0,,,,,,,,,,
6,,,,,,,,,,,
7,882.0,,,,,,,,,,
8,,,,,,,,,,,
9,993.0,,,,,,,,,,
10,1417.0,,,,,,,,,,
11,1410.0,,,,,,,,,,
12,1771.0,,,,,,,,,,
13,2758.0,,,,,,,,,,
14,4756.0,,,,,,,,,,
15,10932.0,,,,,,,,,,
16,14584.0,,,,,,,,,,
17,15267.0,,,,,,,,,,
18,13675.0,,,,,,,,,,
19,9807.0,,,,,,,,,,
20,4136.0,,,,,,,,,,
21,,,,,,,,,,,
22,2994.0,,,,,,,,,,
23,2357.0,,,,,,,,,,
24,2289.0,,,,,,,,,,
25,2020.0,,,,,,,,,,
26,2261.0,,,,,,,,,,
27,2388.0,,,,,,,,,,
28,2075.0,,,,,,,,,,
29,1980.0,,,,,,,,,,
30,1649.0,,,,,,,,,,
31,1513.0,,,,,,,,,,
32,1254.0,,,,,,,,,,
33,991.0,,,,,,,,,,
34,1024.0,,,,,,,,,,
35,837.0,,,,,,,,,,
36,867.0,,,,,,,,,,
37,805.0,,,,,,,,,,
38,704.0,,,,,,,,,,
39,743.0,,,,,,,,,,
40,659.0,,,,,,,,,,
41,638.0,,,,,,,,,,
42,581.0,,,,,,,,,,
43,666.0,,,,,,,,,,
44,476.0,,,,,,,,,,
45,479.0,,,,,,,,,,
46,443.0,,,,,,,,,,
47,300.0,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,231.0,,,,,,,,,,
51,,,,,,,,,,,
52,239.0,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,597.0,,,,,,,,,,
59,,,,,,,,,,,
60,847.0,,,,,,,,,,
61,882.0,,,,,,,,,,
62,976.0,,,,,,,,,,
63,1015.0,,,,,,,,,,
64,751.0,,,,,,,,,,
65,895.0,,,,,,,,,,
66,1047.0,,,,,,,,,,
67,852.0,,,,,,,,,,
68,1327.0,,,,,,,,,,
69,1425.0,,,,,,,,,,
70,1698.0,,,,,,,,,,
71,1776.0,,,,,,,,,,
72,1178.0,,,,,,,,,,
73,891.0,,,,,,,,,,
74,1528.0,,,,,,,,,,
75,2089.0,,,,,,,,,,
76,3877.0,,,,,,,,,,
77,7487.0,,,,,,,,,,
78,12160.0,,,,,,,,,,
79,14981.0,,,,,,,,,,
80,11430.0,,,,,,,,,,
81,9194.0,,,,,,,,,,
82,7493.0,,,,,,,,,,
83,6735.0,,,,,,,,,,
84,5881.0,,,,,,,,,,
85,3843.0,,,,,,,,,,
86,2468.0,,,,,,,,,,
87,1702.0,,,,,,,,,,
88,1386.0,,,,,,,,,,
89,914.0,,,,,,,,,,
90,809.0,,,,,,,,,,
91,711.0,,,,,,,,,,
92,645.0,,,,,,,,,,
93,636.0,,,,,,,,,,
